Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (mm),Total Precip (mm),Avg Sol Rad (W/sq.m),Avg Vap Pres (kPa),Avg Max Air Temp (C),Avg Min Air Temp (C),Avg Air Temp (C),Avg Max Rel Hum (%),Avg Min Rel Hum (%),Avg Rel Hum (%),Avg Dew Point (C),Avg Wind Speed (m/s),Avg Soil Temp (C),qc
117,Victorville,San Bernardino,12-Apr,163.58,15.1,288,0.7,23.4,6.6,15.1,69,20,38,0,2.9,14.1,K
117,Victorville,San Bernardino,12-May,218.02,0.1,334,0.7,28.4,10.5,20.1,64,16,31,1.6,3.1,17.6,K
117,Victorville,San Bernardino,12-Jun,241.52,0.1,350,0.7,31.3,13.3,23.2,52,12,25,1.8,3.3,19, 
117,Victorville,San Bernardino,12-Jul,244.44,20.8,316,0.9,33.4,16.8,26,51,15,27,5,3.1,19.9,K
117,Victorville,San Bernardino,12-Aug,212.01,16.6,276,1.2,35.7,19.7,28.1,57,19,32,9.6,2.4,22, 
117,Victorville,San Bernardino,12-Sep,170.3,12.5,248,0.9,32.8,15.8,24.8,53,16,30,5.2,2.1,20.7, 
117,Victorville,San Bernardino,12-Oct,120.28,0,203,0.8,25.8,9,17.4,65,21,39,2.1,2.4,17.1, 
117,Victorville,San Bernardino,12-Nov,74.65,0.8,152,0.6,20.3,3.8,11.8,67,24,42,-1.4,2.2,12.5,K
117,Victorville,San Bernardino,12-Dec,52.26,22.5,116,0.6,13.2,1.3,7.1,82,37,58,-1,2.8,9.6,K
117,Victorville,San Bernardino,13-Jan,53.82,18.3,135,0.4,13,-2.1,5,74,25,45,-6.5,1.9,,K
117,Victorville,San Bernardino,13-Feb,77.78,5.1,187,0.4,15.2,-0.9,7.3,74,21,42,-5.4,2.3,13.4,K
117,Victorville,San Bernardino,13-Mar,141.17,3.4,241,0.5,22.1,5.8,14.1,64,18,35,-2.1,2.7,13.6,K
117,Victorville,San Bernardino,13-Apr,178.26,0,299,0.6,24.1,7.9,16.2,62,16,33,-1.2,3.2,15.1,K
117,Victorville,San Bernardino,13-May,209.13,0,318,0.7,26.7,11,19.4,62,18,36,2.6,3.2,17.3, 
117,Victorville,San Bernardino,13-Jun,239.26,0,336,0.8,33.7,14.9,24.8,55,12,26,3.6,3.1,19.5, 
117,Victorville,San Bernardino,13-Jul,225.37,0,282,1,35.1,19.3,27.5,49,16,28,6.7,2.8,21.1, 
117,Victorville,San Bernardino,13-Aug,220.43,0,289,1,33.2,16.6,25.9,51,16,28,5,2.8,20.8,K
117,Victorville,San Bernardino,13-Sep,171.33,0,254,0.9,30.8,14.2,23,56,16,31,4.5,2.4,20.4,K
117,Victorville,San Bernardino,13-Oct,116.76,0,209,0.6,23.1,5.7,14.7,63,19,34,-2.1,2.1,15.7,K
117,Victorville,San Bernardino,13-Nov,61.95,0,139,0.6,18,3.5,10.6,71,32,49,-1.2,1.7,12, 
117,Victorville,San Bernardino,13-Dec,53.29,0,131,0.4,14.4,-1.4,5.9,73,22,44,-6,1.7,11,K
117,Victorville,San Bernardino,14-Jan,64.78,0,134,0.4,18.6,0.4,9.2,59,16,32,-7.2,1.4,10.6,K
117,Victorville,San Bernardino,14-Feb,85.39,0,180,0.5,19.2,3.8,11.6,65,21,40,-2.6,2.3,10.9,K
117,Victorville,San Bernardino,14-Mar,110.93,0,245,0.6,20.6,4.7,13,68,19,38,-2.1,1.6,13,L
117,Victorville,San Bernardino,14-Apr,151.79,5.4,295,0.5,23.6,7.3,15.9,61,15,31,-2.3,1.6,15,K
117,Victorville,San Bernardino,14-May,205.28,0.2,326,0.6,27.2,10.8,19.7,56,14,32,1.3,2.6,17.2, 
117,Victorville,San Bernardino,14-Jun,241.5,0,349,0.8,32.4,14.4,24.2,51,12,25,2.3,3.3,19.6, 
117,Victorville,San Bernardino,14-Jul,235.09,0.4,306,1,34.6,17.9,27.3,55,15,28,7,2.8,21.4, 
117,Victorville,San Bernardino,14-Aug,216.36,2,287,1,33,17.2,25.6,56,16,30,6.2,2.8,21.6, 
117,Victorville,San Bernardino,14-Sep,169.6,0.2,252,1,31.7,16,24.4,60,19,35,7.2,2.4,20.8, 
117,Victorville,San Bernardino,14-Oct,123.56,0.2,208,0.7,27.9,9.2,18.7,58,16,32,0.7,1.8,17.3, 
117,Victorville,San Bernardino,14-Nov,76.69,2.3,156,0.5,20,3.6,11.7,64,20,39,-3,2.1,12.8, 
117,Victorville,San Bernardino,14-Dec,40.59,27.7,106,0.7,13.8,2.1,7.8,87,44,65,1.4,1.7,10.1, 
117,Victorville,San Bernardino,15-Jan,49.31,21.3,122,0.6,16.1,1.2,8.1,82,31,54,-1.2,1.3,9, 
117,Victorville,San Bernardino,15-Feb,86.44,11.6,185,0.6,21.1,3.9,12.5,74,21,43,-0.6,2.1,10.7, 
117,Victorville,San Bernardino,15-Mar,136.98,0.2,238,0.5,23.2,5.8,14.9,63,16,33,-2.1,2,12.6,K
117,Victorville,San Bernardino,15-Apr,166.39,0.1,301,0.5,22.8,7,15.1,55,17,32,-2.7,2.8,14.7, 
117,Victorville,San Bernardino,15-May,194.31,1.5,319,0.8,23.3,9.6,16.6,69,26,43,3,3.6,16.5, 
117,Victorville,San Bernardino,15-Jun,222.28,0.7,320,0.9,33.3,16.2,25.4,53,15,28,4.6,2.9,19.8, 
117,Victorville,San Bernardino,15-Jul,220.18,23,304,1.2,31.9,16.9,24.7,67,20,38,8.8,3.1,21.1, 
117,Victorville,San Bernardino,15-Aug,235.42,0.7,301,0.9,35.6,18,27.4,54,12,26,5.9,2.9,21.7, 
117,Victorville,San Bernardino,15-Sep,170.77,0.7,245,1.1,31.9,16.2,24.3,65,19,37,8.3,2.7,21.2,K
117,Victorville,San Bernardino,15-Oct,108.18,0.3,187,1,26,11.6,18.8,73,27,43,5.3,1.9,18.8,K
117,Victorville,San Bernardino,15-Nov,73.72,0.2,160,0.4,16.7,1.1,8.9,66,20,38,-5.1,2.2,11.6, 
117,Victorville,San Bernardino,15-Dec,54.97,0.4,130,0.4,13.3,-1.5,5.5,72,26,46,-5.9,2.4,7.8, 
117,Victorville,San Bernardino,16-Jan,51.46,1.6,122,0.6,14,0.5,7,82,36,58,-1.1,2.1,7.4, 
117,Victorville,San Bernardino,16-Feb,89.28,0.3,192,0.5,20.5,1.3,10.8,69,15,35,-4.5,1.8,8.7, 
117,Victorville,San Bernardino,16-Mar,131.04,0.1,239,0.6,20.8,4.9,13.2,72,23,43,0,2.9,11.9, 
117,Victorville,San Bernardino,16-Apr,158.93,14.1,278,0.6,22.7,7.8,15.5,64,21,38,-0.3,2.8,14.3, 
117,Victorville,San Bernardino,16-May,198.75,0,328,0.8,25.2,10.2,17.8,71,23,43,4.4,3.3,16.8, 
117,Victorville,San Bernardino,16-Jun,239.51,0,338,0.8,34.8,16.3,26.3,48,12,24,3.5,3,20.3, 
117,Victorville,San Bernardino,16-Jul,268.9,0.2,337,0.8,35.9,19.1,28.1,44,11,22,3.7,3.4,21.4, 
117,Victorville,San Bernardino,16-Aug,232.27,0.1,298,0.9,35.1,17.3,27,49,11,24,4.2,2.7,21.5, 
117,Victorville,San Bernardino,16-Sep,170.07,0,257,0.8,30.1,12.8,22,55,15,30,2.7,2.6,19.4,K
117,Victorville,San Bernardino,16-Oct,120.07,11.2,190,0.8,25.4,10.1,17.8,64,21,38,2.2,2.5,16.6,K
117,Victorville,San Bernardino,16-Nov,74.04,2.6,152,0.5,20.2,2.9,11.6,70,20,40,-2.2,1.8,12.4, 
117,Victorville,San Bernardino,16-Dec,50.81,66.9,118,0.5,14.5,0.8,7.3,78,31,51,-3,2.1,8, 
117,Victorville,San Bernardino,17-Jan,63.24,19.8,136,0.5,17.8,1.8,9.6,72,23,44,-2.5,1.7,8.5, 
117,Victorville,San Bernardino,17-Feb,73.23,32.5,160,0.6,17.6,4.1,10.7,73,30,48,-0.7,2.6,9.5, 
117,Victorville,San Bernardino,17-Mar,142.64,0,248,0.6,21.8,5.1,13.7,68,19,38,-0.8,2.7,12.2, 
117,Victorville,San Bernardino,17-Apr,177.12,0,293,0.6,23.2,7.3,15.9,59,17,32,-1.6,3.2,14.5, 
117,Victorville,San Bernardino,17-May,202.97,2.1,332,0.7,26.7,9.5,18.7,64,19,35,1.7,3.1,17.1, 
117,Victorville,San Bernardino,17-Jun,237.7,0.1,359,0.8,34.1,14.6,25.5,52,12,25,2.7,2.9,20.2, 
117,Victorville,San Bernardino,17-Jul,248.89,0,324,1,36.7,19.2,28.6,51,14,26,7.1,2.9,22, 
117,Victorville,San Bernardino,17-Aug,215.21,1.6,289,1.1,33.7,18.5,26.5,60,17,32,8,3,22.1,L
117,Victorville,San Bernardino,17-Sep,159.47,0,253,0.7,25.9,9.1,17.8,62,19,36,1.4,2,18.7,L
117,Victorville,San Bernardino,17-Oct,118.83,0,213,0.6,26.7,7.4,17.2,54,14,29,-2.2,1.9,16.4, 
117,Victorville,San Bernardino,17-Nov,74.73,0,144,0.7,21.7,5,13.1,68,24,43,0.1,2,13.5, 
117,Victorville,San Bernardino,17-Dec,64.76,0,126,0.3,17.6,-1.1,8.1,45,12,24,-11.9,1.6,7.8, 
117,Victorville,San Bernardino,18-Jan,63.24,19.8,136,0.5,17.8,1.8,9.6,72,23,44,-2.5,1.7,8.5, 
117,Victorville,San Bernardino,18-Feb,85.2,3.8,198,0.4,16.7,0.6,8.8,61,19,35,-6.7,2.6,8.4, 
117,Victorville,San Bernardino,18-Mar,115.54,14.3,227,0.6,17.5,4.5,11.4,73,29,47,-0.8,3,10.3, 
117,Victorville,San Bernardino,18-Apr,182.44,0,301,0.6,24.3,8,16.5,57,16,32,-1.2,3.2,14.5, 
117,Victorville,San Bernardino,18-May,204.76,0.7,333,0.8,26,10.6,18.4,67,22,41,3.9,3.4,17.2, 
117,Victorville,San Bernardino,18-Jun,239.25,0.1,356,0.8,32.8,14.4,24.5,52,11,25,2.5,3.2,19.8,K
117,Victorville,San Bernardino,18-Jul,241.9,6.7,330,1.3,37,20.9,29.3,52,20,32,10.6,2.6,23.1, 
117,Victorville,San Bernardino,18-Aug,236.57,0,311,1.1,35.6,19.3,27.7,52,18,31,8.5,3,22.6, 
117,Victorville,San Bernardino,18-Sep,188.35,0,282,0.9,33.2,15.4,24.9,53,14,28,4.9,2.5,20.7, 
117,Victorville,San Bernardino,18-Oct,112.52,23,211,0.8,24.3,9.5,17,69,25,42,3.4,2.1,17.3, 
117,Victorville,San Bernardino,18-Nov,76.7,4,154,0.5,20.4,3.8,12,59,20,35,-3.9,1.9,13, 
117,Victorville,San Bernardino,18-Dec,46.89,34.6,120,0.6,14.4,1.1,7.4,84,35,57,-0.9,1.7,9.4, 
117,Victorville,San Bernardino,19-Jan,52.27,27.3,131,0.6,14.8,1.7,7.8,83,36,58,-0.3,2,8.2, 
117,Victorville,San Bernardino,19-Feb,66.76,38.6,177,0.6,11.8,1.3,6.4,83,40,60,-1.1,3.4,7.5, 
117,Victorville,San Bernardino,19-Mar,119.24,17.3,239,0.7,17.4,4.6,11,80,32,53,1.3,3.1,10.8, 
117,Victorville,San Bernardino,19-Apr,177.51,0,304,0.8,23.6,8.4,16.2,70,23,41,2.5,3.5,15, 
117,Victorville,San Bernardino,19-May,178.09,13.3,313,0.9,22,8.8,15.4,80,32,52,5.3,3.5,16.2,K
117,Victorville,San Bernardino,19-Jun,234.35,0,362,1,32.1,14.6,23.9,62,16,32,5.9,3,19.8, 
117,Victorville,San Bernardino,19-Jul,252.86,0,349,1,34.7,17.9,27,53,15,29,7.1,3.1,21.3, 
117,Victorville,San Bernardino,19-Aug,240.68,0,325,0.9,35.6,17.2,27.2,48,12,24,4.7,2.8,21.6, 
117,Victorville,San Bernardino,19-Sep,168.4,0.2,265,1,30.2,14.4,22.6,61,21,36,6,2.7,20.5, 
117,Victorville,San Bernardino,19-Oct,123.34,0,226,0.5,25,6,15.9,47,11,24,-5.2,2,16.2, 
117,Victorville,San Bernardino,19-Nov,71.37,40.5,153,0.5,20.8,2.9,11.6,57,21,36,-5.2,1.7,11.6, 
117,Victorville,San Bernardino,19-Dec,40.03,57.1,107,0.7,12.3,1.3,6.5,89,45,67,0.3,1.7,8, 
117,Victorville,San Bernardino,20-Jan,61.89,0,148,0.6,16.6,0.1,7.8,81,26,52,-1.7,1.8,7.1, 
117,Victorville,San Bernardino,20-Feb,92.3,0.3,193,0.4,18.8,1.6,10.2,63,16,34,-5.6,2.2,8.2, 
117,Victorville,San Bernardino,20-Mar,105.18,51.9,215,0.7,15.6,4.7,10.1,81,40,58,1.8,3.3,10.3, 
117,Victorville,San Bernardino,20-Apr,149.68,42.5,281,0.9,21.8,8.3,14.8,79,34,54,4.7,3,14.1,K
117,Victorville,San Bernardino,20-May,219.24,0,349,0.8,29,11.7,20.8,64,18,34,3.9,2.9,18.7, 
117,Victorville,San Bernardino,20-Jun,229.42,0,359,0.9,31.6,14,23.2,60,16,32,4.7,3.2,20.1, 
117,Victorville,San Bernardino,20-Jul,256.36,0,363,0.8,35,17.1,27,46,12,22,3.4,3.2,20.8,L
117,Victorville,San Bernardino,20-Aug,234.12,0.2,309,1,36.7,18.8,28.3,50,13,27,6.8,2.7,21.9, 
117,Victorville,San Bernardino,20-Sep,174.28,0,253,0.7,34.5,14.6,25,43,11,22,1.7,1.8,20.4, 
117,Victorville,San Bernardino,20-Oct,121.57,0,216,0.6,29.6,9.6,19.6,53,15,28,-0.4,1.8,17.7,K
117,Victorville,San Bernardino,20-Nov,73.11,5.7,162,0.5,21,3.9,12.4,66,20,38,-2.2,1.9,12.6,L
117,Victorville,San Bernardino,20-Dec,53.12,0,122,0.4,15.2,-0.4,6.8,72,23,43,-7.2,1.2,6.7,L
117,Victorville,San Bernardino,21-Jan,61.1,37.2,135,0.5,15.2,0.9,7.7,74,28,49,-2.9,2.4,6.6,L
117,Victorville,San Bernardino,21-Feb,87.48,0.2,199,0.5,17.8,1.7,9.7,66,19,38,-4.6,2.4,8.3, 
117,Victorville,San Bernardino,21-Mar,129.85,1,253,0.5,18,2.4,10.3,69,20,41,-3.7,3.2,10.1, 
117,Victorville,San Bernardino,21-Apr,184.81,0.1,316,0.6,25.1,7.6,16.5,59,15,33,-1.4,3.3,14.2, 
117,Victorville,San Bernardino,21-May,228.31,0,357,0.7,28.9,11.3,20.2,61,14,31,2.2,3.1,17.3, 
117,Victorville,San Bernardino,21-Jun,241.8,0,347,0.8,35.6,17.2,26.9,46,12,24,4.1,2.9,20.4, 
117,Victorville,San Bernardino,21-Jul,249.99,16.8,323,1.1,37.2,20.8,29.2,49,17,28,8.4,2.9,22.4, 
117,Victorville,San Bernardino,21-Aug,240.96,0,313,1,36.1,18.9,27.8,48,15,27,6.3,3.1,21.8,K
117,Victorville,San Bernardino,21-Sep,179.61,6.5,273,0.9,33.3,15.2,24.5,56,15,30,5.1,2.3,19.9, 
117,Victorville,San Bernardino,21-Oct,111.5,12.6,206,0.7,23.9,7.3,15.7,65,23,39,0.7,2.3,15,K
117,Victorville,San Bernardino,21-Nov,78.87,0,166,0.6,23.7,4.7,13.8,60,17,34,-2.5,1.5,12.1, 
117,Victorville,San Bernardino,21-Dec,49.68,22.4,121,0.6,14.5,1.3,7.6,79,37,57,-1.2,2.5,7.9, 
117,Victorville,San Bernardino,22-Jan,61,0,145,0.4,16.5,-0.4,7.8,69,20,40,-5.5,1.6,6.2, 
117,Victorville,San Bernardino,22-Feb,84.44,12.9,207,0.4,17.4,-0.4,8.5,61,16,33,-8,2.2,6,K
117,Victorville,San Bernardino,22-Mar,142,3.8,256,0.5,21.6,4.6,13.3,62,16,34,-3.5,2.8,9.2, 
117,Victorville,San Bernardino,22-Apr,181.56,4,324,0.6,24.7,7.4,16.2,65,17,34,-0.7,2.9,13.2, 
117,Victorville,San Bernardino,22-May,223.46,0,360,0.7,28.2,10.6,19.8,59,15,31,1.3,2.9,15.3,K
117,Victorville,San Bernardino,22-Jun,241.31,0.6,364,0.9,33.8,16,25.6,51,13,26,4,2.9,18.3,K
117,Victorville,San Bernardino,22-Jul,253.29,0.4,341,1.1,36.3,19.4,28.1,48,16,28,7.1,2.8,20.4, 
117,Victorville,San Bernardino,22-Aug,219.44,5,305,1.2,36.9,20.2,28.7,51,20,32,9.8,2.3,20.7, 
117,Victorville,San Bernardino,22-Sep,159.73,7.6,255,1.2,30.8,15.7,23.4,71,23,41,8.9,2.3,19.9,L
117,Victorville,San Bernardino,22-Oct,115.92,7.2,204,0.9,27.6,10.5,19.1,66,20,37,3.7,1.7,17.6, 
117,Victorville,San Bernardino,22-Nov,66.76,22.9,152,0.5,17.1,0.9,8.5,74,23,44,-3.7,2.1,10.1,K
117,Victorville,San Bernardino,22-Dec,49.35,12.5,118,0.6,14.8,1.1,7.3,82,37,58,-0.4,2.2,7.7, 
